name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Slow Down Baby,Tersenyum Lagi,She,48ZpHG3rkUN9kKGCE4mNsB,2007-06-01,35,220653,0.645,0.527,0.664,0.0,0.0453,0.89,-4.021,0.0687,90.006,7,4
Tergoda Bidadari,Still The One,Yovie & Nuno,5KEq53FXa6ugiijkEQ7YkF,2014-04-14,43,217706,0.61,0.603,0.578,0.000148,0.119,0.723,-5.593,0.0281,117.172,1,4
"Jatuh, Bangkit Kembali!",CERITERA,Hivi!,0vKVjAhDSzDfMS5KsOkN5r,2019-11-13,42,278800,0.572,0.0107,0.792,4.47e-06,0.365,0.791,-6.55,0.0373,148.966,1,4
Buktikan,Tak Pernah Kubayangkan,Nindy,2YHvzOEz9rSIZHbRIeRWzb,2008-07-28,37,205853,0.712,0.288,0.748,1.67e-05,0.317,0.939,-4.354,0.0381,93.026,7,4
Lagu Galau,Lagu Galau,Al-Ghazali,6LlYiCANz8gCXUl7g37d6A,2015-05-04,38,243200,0.627,0.146,0.58,0.0,0.216,0.618,-7.136,0.0278,149.954,9,4
Jangan Kau Lepas,Alexa,Alexa,55AIhUM5HgjJuSdFoJdtSQ,2008-02-25,57,241000,0.59,0.109,0.846,0.398,0.336,0.794,-3.365,0.0353,119.973,4,4
Betapa,Menentukan Arah,Sheila On 7,5yYCrAuCka1kVSJiCHnurL,2008-11-11,57,223466,0.621,0.303,0.727,0.000694,0.17,0.822,-6.28,0.0289,130.001,4,4
Bukan Superstar,Top Of The Pop,Project Pop,6TTR0QbfZJEZ2zhL23U6CW,2008-01-01,46,238800,0.595,0.0719,0.763,0.0,0.0861,0.708,-5.875,0.059,136.054,0,4
Disco Lazy Time,Breakthru,Nidji,4Rm7dvxs2UCn9xuCJ4xJip,2006-02-05,39,255773,0.626,0.0432,0.861,0.000114,0.329,0.647,-8.483,0.0358,133.992,5,4
Biarlah,Top Up,Nidji,28MIhQn4HxHaGaNWuGB4bY,2007-02-05,46,238426,0.618,0.0591,0.904,0.00769,0.289,0.844,-4.594,0.0339,141.985,11,4
Arti Sahabat,Top Up,Nidji,2npCSRjcxaZ405c6k9nt7V,2007-02-05,37,248453,0.503,0.137,0.819,0.0,0.349,0.488,-4.945,0.0421,140.044,0,4
Jangan Gila,The Best Of,Bunga Citra Lestari,3wo9IyZVksrQq460APovoV,2014-08-27,33,199826,0.832,0.549,0.381,0.00404,0.0726,0.906,-9.24,0.0339,94.015,2,4
