name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Jaga Slalu Hatimu,Dunia Yang Indah,Seventeen,3YZQseFqB5LVy9VcfVv7dp,2010-01-01,58,285933,0.465,0.514,0.659,0.0,0.345,0.255,-4.458,0.0293,135.026,9,4
Suara (Ku Berharap),Ikuti Cahaya,Hijau Daun,28pSjEpLxPmXMr0EzqqqTP,2008-07-28,58,236706,0.609,0.277,0.642,1.22e-06,0.0939,0.287,-5.495,0.0242,95.967,2,4
KKEB,The Best Of Andre Hehanussa,Andre Hehanussa,71NQP11KgFDEJzzrks7wcn,2001-08-01,55,241733,0.78,0.828,0.209,0.000167,0.106,0.644,-12.2,0.0334,97.009,6,4
Luluh,Penantian Hidup,SAMSONS,2eFh9Q4XwYn5pChQGjqSay,2007-01-01,51,277920,0.31,0.615,0.269,0.00218,0.107,0.0724,-9.282,0.0308,128.145,9,4
Akulah Dia,Bintang Yang B3rsinar,Drive,1REjtRSFuT2iWod0vABJSP,2010-11-03,50,196880,0.595,0.00462,0.84,0.0,0.321,0.479,-5.067,0.186,136.189,2,4
Cinta Dalam Hati,Untukmu Selamanya,Ungu,4NOniDRyYcBjF6m1x3U8TK,2007-08-06,65,283360,0.366,0.121,0.58,6.47e-05,0.218,0.196,-5.323,0.0306,136.125,2,4
C.I.N.T.A,C.I.N.T.A,D'Bagindas,1kSXn6irZ8g4Dy5BkRjF5u,2010-01-04,51,241053,0.772,0.846,0.237,0.0,0.1,0.333,-8.274,0.0333,117.979,7,4
Untuk Mencintaimu,Lelaki Hebat,Seventeen,04tvOIuyk8y0QVA8Ta0UOd,2008-01-01,66,209346,0.345,0.169,0.614,0.175,0.0864,0.315,-4.534,0.0267,148.28,0,4
Nuansa Bening,Pelangi Di Malam Hari,Vidi Aldiano,2WzhcCQXcHZCRIeL24rSBd,2019-10-05,52,282973,0.579,0.381,0.483,0.0,0.103,0.346,-8.777,0.0526,79.909,1,4
I Heart You,Senyum Semangat,SMASH,78rsxJsbBtWtTcCwgJqoA3,2011-06-26,49,200389,0.692,0.444,0.862,0.0,0.105,0.751,-8.044,0.134,129.981,8,4
Suka Sama Kamu,C.I.N.T.A,D'Bagindas,7fI9oxvz4kPSAtEImlXu6M,2010-01-04,57,192093,0.763,0.704,0.722,0.0,0.101,0.848,-5.502,0.034,109.996,6,4
Ay,Yang No.1,D'Bagindas,3Tf3j15oYuZracuCsa0DZ0,2011-01-18,41,231586,0.636,0.0993,0.554,0.0,0.103,0.641,-5.195,0.0325,118.063,2,4
Menghitung Hari 2,Heart,Various Artists,1svU65QddvvLA0YY9mdiqF,2006-04-22,62,219706,0.409,0.879,0.141,0.0,0.126,0.302,-10.092,0.0331,153.238,0,4
