name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Plastic Love,Expressions,Mariya Takeuchi,7rU6Iebxzlvqy5t857bKFq,2008-05-21,64,294493,0.648,0.0747,0.875,9.64e-05,0.196,0.857,-5.141,0.034,102.517,2,4
Summer Connection,SUNSHOWER,Taeko Onuki,7jRBeWs7TvE8N8W4tEk3nb,1977-07-25,42,270733,0.529,0.329,0.83,8.25e-05,0.354,0.616,-7.084,0.0555,105.299,3,4
You and I,The Best of Delegation,Delegation,1uGFGhxJ9ISGcy7iDffP7V,2010-01-14,53,316266,0.718,0.153,0.676,0.0306,0.0706,0.944,-11.633,0.0318,112.711,11,4
Oh Honey,Oh Honey,Delegation,3TiCuJiisBOB9HzKAM6FDG,1978-07-17,61,356200,0.734,0.188,0.42,0.242,0.0826,0.462,-12.036,0.028,94.161,2,4
Piero laughs at us,Piero laughs at us,Various Artists,0fGbon58TJAGc3wNRkAUKV,1990-12-01,25,206710,0.634,0.574,0.595,0.0,0.339,0.894,-12.152,0.0375,206.003,6,4
Killing Me Softly With His Song,The Score (Expanded Edition),Fugees,0Q0IVlqMV64kNLlwjPj0Hl,1996-02-13,76,298773,0.765,0.0279,0.29,0.0,0.571,0.506,-17.117,0.139,92.409,4,4
Traveler,4 Walls - The 4th Album,f(x),3EIZGrbNkBYKZpIa3YcXAt,2015-10-27,26,218202,0.859,0.156,0.785,8.95e-05,0.137,0.684,-7.252,0.0714,124.015,9,4
4 Walls,4 Walls - The 4th Album,f(x),2YkjXEab4USTV9uuAgC90E,2015-10-27,56,207477,0.735,0.212,0.849,2.94e-05,0.0608,0.223,-4.308,0.129,125.972,4,4
Untuk Mencintaimu,Lelaki Hebat,Seventeen,04tvOIuyk8y0QVA8Ta0UOd,2008-01-01,64,209346,0.345,0.169,0.614,0.175,0.0864,0.315,-4.534,0.0267,148.28,0,4
L,Perspektif,Hal,66SBpMfdxpe7B2UF0hq4DR,2018-08-23,2,220905,0.652,0.831,0.367,8.34e-05,0.0941,0.508,-7.015,0.032,152.791,2,4
Terlalu Tinggi,Sentimental,Juicy Luicy,4GHzE0rDsSkbj6V6UXZTLc,2020-11-06,57,278667,0.37,0.0428,0.447,0.0,0.0924,0.375,-7.176,0.0296,184.763,10,3
keepyousafe,keepyousafe,Yahya,3Sbova9DAY3pc9GTAACT4b,2020-01-10,62,261673,0.557,0.739,0.367,0.00904,0.0907,0.193,-11.719,0.03,86.866,3,4
Tolong! Kami Butuh Bantuan!,Yang Berlalu Biar Berlalu / Tolong! Kami Butuh Bantuan!,Rasukma,5QgMSGiLxwRgRNc7wLAOoV,2018-08-17,31,149000,0.78,0.962,0.11,0.0983,0.114,0.512,-18.639,0.0893,119.916,0,4
Call Me,Call Me,Rainlord.,37HRd8gZ7F1l1Awm6debTv,2019-01-30,58,144054,0.597,0.879,0.317,3.08e-05,0.369,0.29,-14.075,0.0338,76.946,4,4
Kau Rumahku,Kau Rumahku,raissa anggiani,7IRi1d3Nsrww8mnGv1YW4l,2022-01-10,0,275250,0.35,0.873,0.323,1.48e-06,0.103,0.278,-8.982,0.0369,169.513,1,3
Satu,Laskar Cinta,Dewa,6LVz9rEORZOXopyaXN9FXp,2004,56,286573,0.56,0.236,0.67,0.119,0.11,0.519,-8.71,0.0289,145.944,7,4
Jatuh Suka,Manusia,Tulus,6PqWdGIYq5xdLaa4zCZfRp,2022-03-03,64,235000,0.39,0.668,0.44,0.000281,0.0982,0.356,-8.954,0.0355,89.213,6,4
Hati-Hati di Jalan,Manusia,Tulus,2hHeGD57S0BcopfVcmehdl,2022-03-03,78,242000,0.643,0.702,0.436,0.0889,0.115,0.755,-11.322,0.0357,71.969,6,4
夜に駆ける,THE BOOK,YOASOBI,6MCjmGYlw6mQVWRFVgBRvB,2021-01-06,72,258838,0.663,0.00299,0.871,1.8e-06,0.337,0.826,-5.287,0.03,130.025,8,4
Interaksi,Manusia,Tulus,32Pdf9eyXDEMoClEJW6yYP,2022-03-03,75,170000,0.464,0.778,0.344,1.23e-06,0.132,0.751,-8.302,0.033,177.713,9,4
